,Unnamed:0,Number,description
16,16,photo_17,"Modernist urban building exhibiting strong rectilinear vertical and horizontal massing, facade characterized by large glazed curtain walls enclosed within solid concrete frame clearly expressing structural grid, architectural style international modernism emphasizing structural clarity, materials include smooth stone or concrete framing with large glass curtain walls, colors neutral grey concrete and dark glazed areas with warm interior lighting visible through windows, structural elements highly pronounced in clearly articulated vertical columns and horizontal beams framing glazed facade, special architectural feature prominent recessed glazed facade sections accentuating depth and shadow, flat roof structure integrated within facade's upper horizontal plane, environmental context urban with surrounding cityscape and lush mature trees, scale significantly large based on visible floors and structural proportion, perspective angled highlighting structural framing, depth, and transparency of curtain wall."
17,17,photo_18,"Mid-rise contemporary residential or institutional building featuring prominently angled facade composed almost entirely of reflective glazed curtain walls held within a clearly visible metal framework, facade composition repeating linear horizontal glazed panels creating visual rhythm, architectural style modernist with emphasis on transparency, repetition, and geometric angularity, materials predominantly glass curtain walls with metal structural frame, colors neutral with reflective glazing accented by metal structural elements and dark framing, structural elements distinctly visible metal frame clearly supporting glazing panels, special architectural features include dramatic angular form and continuous glazed facade with subtle reflective properties, flat roof with minimal visibility behind angled glazed facade, environmental context open landscaped garden and grassy courtyard area, scale moderately sized indicated by human-scale landscape elements, perspective angled clearly presenting facade angularity, transparent depth and rhythmic glass panel repetition."
18,18,photo_19,"Contemporary monumental structure formed by series of tall sloping concrete walls interspersed with steeply inclined reflective glazed surfaces creating distinctive triangular profiles, facade composed predominantly of uniform concrete textures contrasted sharply with smooth reflective glass curtain walls, architectural style modern brutalism emphasizing bold, monumental massing and material contrast, materials concrete and reflective glass clearly defined, colors neutral grey of concrete sharply contrasted by dark reflective glazing, structural elements explicitly visible as massive inclined concrete buttresses supporting glazed surfaces, special architectural features include prominently angled triangular profiles and strong rhythmic repetition of alternating concrete and glass walls, roof details formed by inclined planar surfaces of the structure itself, environmental context open grassy foreground with minimal vegetation highlighting stark building geometry, scale significantly large reflected by monumental proportions, perspective angled to clearly emphasize powerful form and strong depth of inclined planes."
19,19,photo_20,"Low-rise contemporary building complex centered around a large circular courtyard or amphitheater-like structure, facade composition predominantly rectangular single-story modules with flat roofs surrounding a prominent circular central form with slightly angled walls, architectural style contemporary integrating harmoniously with natural rural surroundings, materials appear predominantly earthy-colored walls and roofs likely utilizing local materials like brick, earth, or similar materials, colors earthy tones blending gently with surrounding natural landscape, structural elements minimal clearly defined modules surrounding large circular central form, special architectural feature the distinctly circular central volume defining the complex spatially and visually, roof details flat and slightly inclined roofs harmonizing with horizontal landscape, environmental context extensive natural rural landscape with scattered greenery and gentle terrain, scale expansive with low-rise proportions sprawling horizontally, perspective aerial showcasing clear spatial organization and deep integration with landscape."
20,20,photo_21,"Contemporary building with dynamic curved and sloping forms combined with horizontal terraces and ramps, fa?ade composition includes irregular shapes and angled glazed walls framed by distinctive green structural supports, architectural style expressive modernism with playful and sculptural character, materials include horizontal bands of beige and tan sandstone panels, smooth reflective glass, and bright-colored metal framing, predominant colors beige, sand tones, vibrant green, pink, and accents of bright red around openings, structural elements visible through expressive angled metal frames around glazing, special architectural features include sloping glass walls and bold use of brightly colored pipes lining ramps, flat roofs slightly recessed, environmental context urban, paved surroundings with clear sky backdrop, medium scale as indicated by human figure, perspective angled clearly highlighting curves, slopes, and vibrant facade colors."
21,21,photo_22,"High-rise modernist tower characterized by cylindrical corner columns and rectangular central massing, facade composition strongly defined by horizontal bands of dark glazing contrasted with deep reddish-brown brick cladding on vertical cylindrical corners, architectural style brutalist-modernist emphasizing structural mass and form repetition, materials predominantly dark glass, metal louvers, and textured dark brickwork, dominant colors dark brownish-red brick and dark glazing bands, structural elements clearly expressed cylindrical vertical corner towers, special architectural feature cylindrical towers creating bold corners and strong verticality, flat roof concealed behind upper horizontal bands, environmental context urban street with trees and minimal landscaping, significant scale demonstrated by substantial height, perspective frontal emphasizing symmetrical massing and depth defined by strong vertical corner forms."
22,22,photo_23,"Concrete modernist building with distinctive curvilinear and angular forms featuring sloped and cylindrical geometries, facade composed predominantly of exposed rough-textured concrete and bands of horizontal windows with minimal framing, architectural style brutalist-modernism emphasizing sculptural concrete forms, materials primarily exposed concrete with rough and smooth textures, and horizontal glazing bands, colors neutral grey concrete with clear glass, structural elements emphasized through visible concrete forms shaping curved and inclined walls, special features prominently include sloped and cylindrical volumes blending smoothly, roof details curved and sloped directly integrated into wall forms, environmental context minimal landscaping, pavement foreground, modest scale indicated by adjacent human-scale elements, perspective close-up and angled highlighting textural concrete and sculptural shapes with strong depth from shadows."
23,23,photo_24,"Vertical modernist residential or office tower featuring circular form emphasized through stacked horizontal bands creating strong visual rhythm, fa?ade composition dominated by alternating white concrete curved balconies and continuous horizontal glazing strips, architectural style modernist-brutalist emphasizing strong geometric repetition and rounded forms, materials prominently smooth white concrete, blue-tinted glass, colors predominantly white with blue glazing accents, structural elements clearly expressed in continuous horizontal concrete bands, special architectural features include stacked curved balconies giving strong cylindrical visual form, roof details flat and minimally defined, environmental context urban with dense greenery in foreground, large scale suggested by height and number of floors, perspective upward angled clearly demonstrating rhythmic facade repetition and depth created by shadows and balcony curvature."
24,24,photo_25,"Minimalist sculptural structure with symmetrical, sharply angled concrete walls forming a narrow vertical passage, fa?ade composition features smooth, greyish-white concrete surfaces creating precise geometric lines and narrow gaps, architectural style contemporary minimalism emphasizing geometric purity and symmetry, materials predominantly smooth finished concrete, colors neutral grey-white shades, structural elements strongly defined through narrow vertical and angled walls, special architectural features include dramatic central stair-like formation enclosed within narrow concrete walls, flat top edge forming simple roofline, environmental context open plaza flanked by larger buildings, modest scale human-sized as indicated by visible figures, perspective frontal emphasizing symmetrical geometry, depth clearly highlighted by central narrow opening between walls."
25,25,photo_26,"Mid-rise contemporary building exhibiting strong rectangular massing with classical-inspired fa?ade elements including vertical columns and symmetrical window arrangement, architectural style postmodern-classical fusion emphasizing formal monumentality and symmetry, materials predominantly stone or concrete panels with smooth textures, colors muted beige, cream, and warm stone tones, structural elements classical-style vertical columns clearly defining lower fa?ade, special features classical columns and rhythmic facade symmetry, roof details gable-like pitched roof clearly visible atop central mass, environmental context urban paved plaza with adjacent large structures, scale large indicated by multiple stories and surrounding context, perspective frontal symmetrical clearly highlighting fa?ade regularity, depth provided by strong vertical column lines."
26,26,photo_27,"Distinctive mid-rise contemporary building fa?ade characterized by regular rhythm of vertical and horizontal brickwork patterns combined with projecting green cornice-like horizontal bands, architectural style postmodern incorporating classical references with playful color contrasts, materials brick masonry predominantly red-brown combined with green painted horizontal projections, colors strongly contrasting red-brown brick and vivid green accent bands, structural elements horizontal projecting cornices clearly emphasizing fa?ade floors, special features include rhythmic facade articulation with classical-inspired cornices, flat roof minimally defined, environmental context urban waterfront with residential foreground, scale moderate reflecting medium-height building, perspective frontal clearly illustrating rhythm and color contrast with visual depth through articulated cornices."
27,27,photo_28,"Modern minimalist concrete structure featuring clean curving walls and precise geometric forms, fa?ade composition strongly defined by smooth grey concrete surfaces and sharply delineated angular openings, architectural style minimalist contemporary emphasizing pure forms and clean lines, materials predominantly smooth raw concrete, colors neutral grey tones, structural elements visible cylindrical concrete support column clearly featured beneath overhead plane, special architectural feature includes dramatic overhead canopy cantilevered above central cylindrical column, flat roof minimally visible integrated within cantilevered canopy structure, environmental context paved courtyard with minimal landscaping, scale moderate indicated by clear proportion and human-scale elements, perspective angled clearly showcasing geometrical composition, smooth textures, and strong depth created by shadows and overhead canopy."
28,28,photo_29,"Contemporary cultural building with symmetrical curved facade composition featuring expansive gently curving white textured surfaces on either side of a central rectilinear entry, architectural style modern-contemporary emphasizing smooth curved surfaces and symmetry, materials predominantly textured white facade panels with contrasting wooden and glazed central entrance, colors primarily bright white with warm interior wooden accents at entry, structural elements minimal with smooth seamless surfaces, special architectural feature prominently symmetrical curving facades converging toward central entrance, roof details flat or subtly inclined concealed behind curved walls, environmental context urban plaza populated by numerous figures and palm trees indicating warm climate, large scale suggested by broad fa?ade and entrance proportions, perspective frontal clearly emphasizing symmetry and depth created by curved facade wings."
29,29,photo_30,"Angular contemporary building featuring prominently inclined facade composed of extensive glazing framed by metallic structure and brick walls, facade clearly articulated with sloped glazed panels creating dynamic visual form, architectural style expressive modernism emphasizing angular forms and transparency, materials glass curtain walls, metallic framework, and warm-colored brick masonry, colors predominantly reflective glass, metallic grey framing, and brick red walls, structural elements prominently angled metal supports clearly visible beneath glazed fa?ade, special architectural features include prominently inclined glazed fa?ade supported by visible metal elements, flat roof minimally visible, environmental context urban setting with sparse vegetation and pavement foreground, scale moderately large based on visual indicators, perspective sharply angled accentuating inclined fa?ade, transparency, structural clarity, and visual depth."
30,30,photo_31,"Curvilinear modernist building composed of distinct horizontal bands and angled green metallic-framed curtain walls; facade covered in warm, textured stone tiles in beige and tan; elongated pink tubular railing accentuates the gently sloping ramps along facade; sculptural massing with segmented and curved volumes; facade transitions seamlessly into inclined roof forms; structural elements include tilted glazing supported by angled green mullions; perspective emphasizing depth through receding ramps and layered facade; soft daylight illumination under clear blue sky; building scaled to human figure standing in foreground; environmental context minimalistic, urban setting."
31,31,photo_32,"Rectilinear, vertical high-rise structure characterized by strong horizontal lines, defined by deep-set windows alternating with dark horizontal spandrel panels; cylindrical brick-clad corner towers frame the building symmetrically; brutalist architectural style with robust, heavy proportions; facade composed primarily of dark red-brown brick with coarse texture; concrete structural elements subtly visible between brick and window panels; flat roof concealed behind parapet; minimalistic urban environment featuring sparse greenery at ground level; pronounced verticality emphasized through low-angle perspective; scale is substantial, emphasized by trees and lampposts at base; cloudy daylight conditions soften the building¡¯s stark appearance."
32,32,photo_33,"Brutalist-style concrete structure with geometric sculptural forms, circular and angular massing, raw concrete textures dominating facade; lower portion features angled walls with slightly protruding windows in trapezoidal frames; upper band of narrow horizontal glazing beneath the rounded concrete overhang; roof consists of exposed concrete parapet elements, partially cylindrical; strong emphasis on volumetric interplay and solid-to-void contrast; environment sparse, minimal vegetation and simple paved areas around building; scale indicated by modest dimensions and low height, creating intimate spatial proportions; natural daylight softly illuminates surface textures and geometry, providing clear visual depth."
33,33,photo_34,"High-rise residential tower featuring cylindrical form with pronounced horizontal bands of white concrete balconies wrapping continuously around the facade; rhythmic repetition of curving balcony forms defines facade composition; vertical slender structural elements evident, integrated seamlessly into facade; modernist architectural style emphasizing organic shapes; material primarily smooth white concrete with occasional dark window openings; vegetation-covered base and informal greenery providing environmental context; rooftop details not visible, tower blending harmoniously into clear daylight sky; depth emphasized through the overlapping balcony geometry; scale indicated by human figure and greenery at ground level."
34,34,photo_35,"Axially symmetrical monumental structure in postmodern style with large, rectangular forms enclosing a central sculptural staircase; facade composition simple and geometric, consisting of beige and warm-colored plaster surfaces; vertical rhythm achieved by repeated rectangular windows in ordered sequences; pitched roof with metallic green covering minimally visible; special architectural feature is central open-air staircase forming dramatic vertical slit; strong linear perspective and depth created by converging architectural elements; scale monumental, indicated by small figures at ground level; environment urban and orderly, with spacious open plaza and structured architectural arrangement; neutral daylight enhances clarity and precision of architectural elements."
35,35,photo_36,"Boldly geometric mid-rise structure with vivid red and teal-colored postmodern facade composition; repeated rhythmic fenestration in rectangular grid pattern interspersed with teal horizontal cornices and thick projecting elements; materials predominantly smooth, vibrantly colored stucco and concrete; clearly defined flat roof with minimal parapet detail; urban setting along calm waterfront with reflections enhancing facade visibility; juxtaposition of traditional and contemporary architectural context at ground level; deep perspective achieved through reflective water foreground and surrounding low-rise structures; scale moderate, with clear human-scale proportions and domestic context nearby; natural daylight emphasizing rich color contrast and sharp facade details."
36,36,photo_37,"Contemporary concrete structure characterized by smooth, curvilinear forms and clean minimalist geometry; facade features unadorned exposed concrete surfaces with subtle horizontal seams; distinct architectural element is elevated flat-roof canopy supported by slender cylindrical concrete column; gently curving ramp and rounded walls enclosing semi-open courtyard; linear opening in wall framing view to exterior landscape; neutral gray tones throughout with smooth, refined concrete finish; environment simple, open to sky, and uncluttered; perspective emphasizes geometric harmony and spatial openness; scale moderate, evident by steps, railing, and window dimensions."
37,37,photo_38,"Modern cultural building with symmetrical, gently curved facade volumes covered in uniform white textured panels; central grand entrance with recessed wood-lined atrium clearly visible; facade characterized by clean, fluid lines, and subtle perforations suggesting permeability and depth; architectural style contemporary minimalist, with soft organic shapes; roof line not distinctly visible, integrated seamlessly into facade curves; plaza environment expansive, flat, and open with numerous pedestrians conveying significant public scale; natural daylight evenly illuminating surfaces and highlighting texture subtly; clear linear perspective towards the central entry providing visual depth and scale."
38,38,photo_39,"Angular, contemporary building with dramatic cantilevered volumes and steeply slanted glass facades supported by exposed metallic structural braces; facade composition characterized by sharp geometric shapes and glazed curtain walls framed in metallic mullions; materials include large expanses of transparent and reflective glass, accented by earthy-red metal cladding; flat roof minimally visible due to perspective; urban environmental context partially vegetated and slightly neglected with overgrown greenery at ground level; perspective strongly emphasizes building's dynamic, forward-leaning form and layered spatial depth; scale substantial, clearly indicated by human-scaled structural supports and facade details; atmospheric daylight conditions contributing to a realistic rendering of textures and structural detail."
39,39,photo_40,"Low-rise contemporary pavilion characterized by sharp, angular geometry and fragmented, crystalline facade composition; white smooth stucco surfaces prominently interspersed with irregular-shaped glazing panels; facade features distinct diagonal cuts and triangular windows, accentuated by transparent glass; minimalistic modern style emphasizing dynamic form and sharp edges; structure includes concealed supports giving floating appearance; flat roof seamlessly integrated into the overall form without visible detail; environmental context includes green lawn and clear blue sky, indicating a park-like setting; scale indicated by pedestrian figures adjacent to structure; perspective emphasizes strong volumetric shapes and the contrast between solid and void."
40,40,photo_41,"Linear, elongated modern structure of minimalistic aesthetic prominently positioned on forested hillside; facade composition predominantly smooth, raw concrete surfaces with visible formwork texture; long, rectangular volumes connected and integrated harmoniously into landscape contour; contemporary architectural style characterized by simplicity and geometric purity; structural elements clearly expressed as massive concrete walls; roof flat and uniform, seamlessly blending with overall linear form; environmental context richly forested mountainous landscape, emphasizing the building's serene isolation; scale substantial yet proportional to natural surroundings; high-angle perspective clearly illustrating elongated mass and contextual integration."
41,41,photo_42,Monolithic contemporary museum composed of massive cubic and rectangular volumes clad uniformly in textured
42,42,photo_43,Iconic modern pavilion featuring dramatic
43,43,photo_44,"Contemporary rectangular building characterized by distinctive facade composed of porous brickwork creating a dense lattice pattern of rectangular openings; rustic textured brick walls in varying shades of brown and beige; modern architectural style with strong tactile quality and simplicity of form; clearly defined angular structural elements, with a recessed entry on the lower level; flat roof minimally visible due to angle; environmental context natural, slightly arid landscape with extensive brick paving extending from facade; scale moderate, indicated by brick sizes and surrounding vegetation; perspective emphasizes linear depth, brick texture, and rhythmic facade openings."
44,44,photo_45,"Modern waterfront building characterized by dramatic horizontal planes stacked in cantilevered, tiered arrangement; facade primarily composed of smooth white surfaces and extensive floor-to-ceiling glass panels; contemporary architectural style emphasizing transparency, openness, and horizontal linearity; structural clarity expressed through sharply defined horizontal slabs and slender glass balustrades; roof flat and minimally detailed, integrated into cantilevered form; bustling urban environment at waterfront with crowded pedestrian area indicating public use; scale large, clearly indicated by human figures on terraces; dynamic low-angle perspective emphasizing the dramatic extension of the cantilevered floors."
45,45,photo_46,"Symmetrical contemporary building with distinctive layered composition of horizontally extending white slabs and extensive glazed curtain walls; facade rhythmically balanced by clear glass balconies and deep, cantilevered terraces; architectural style modern minimalist with clean, crisp geometry; smooth white cladding contrasts with transparent glazing; structural elements emphasized in clearly delineated horizontal planes; roof integrated into slab design, flat and featureless; situated prominently along waterfront, environment enhanced by water reflections and clear sky; scale significant, human figures visible on terraces; frontal perspective clearly illustrating harmonious symmetry and striking horizontality."
46,46,photo_47,"High-rise cubic contemporary building characterized by repetitive vertical and horizontal glass facade grid pattern with pronounced structural framing; facade features distinct rectangular voids creating internal open-air garden spaces; modern architectural style, minimalist and rectilinear; material primarily reflective glass and slender vertical metallic framing elements; structural elements form clear vertical and horizontal grid, enclosing voids; flat roof integrated seamlessly into rectilinear volume; urban environmental context dense with surrounding high-rise buildings; scale monumental, emphasized by surrounding cityscape; distant perspective clearly illustrates cubic form and void spaces."
47,47,photo_48,"Expansive contemporary courtyard space enclosed by building facade composed of dense, vertically-oriented metallic louvers and transparent glazing; architectural style modern and minimalist emphasizing transparency and layered depth; facade materials predominantly sleek metallic vertical elements and extensive glass surfaces; distinctive structural element includes monumental open void above courtyard, bridging upper floors; courtyard landscaped extensively with structured greenery and curving paved pathways; environmental context serene, urban garden-like setting; scale substantial, indicated by trees, pathways, and facade details; central symmetrical perspective highlighting void space, greenery, and facade layering."
48,48,photo_49,"Detailed view of contemporary facade composed of a precise grid of vertically aligned slender metallic louvers interspersed with glass panels; modern, minimalist architectural style with repetitive geometric pattern; material primarily metallic louvers with reflective, transparent glazing providing depth; special architectural feature includes a large rectangular recessed opening containing landscaped greenery and seating area visible within facade; structural clarity expressed through uniform grid and precise detailing; flat roof minimally visible at upper facade edge; scale indicated by facade elements and interior garden scale; perspective highlighting facade repetition, refined details, and deep recessed void."
49,49,photo_50,"Contemporary high-rise facade composed of repetitive vertical metal louvers and floor-to-ceiling glazing arranged in a rigorous grid pattern; clean minimalist architectural style emphasizing uniformity and precision; facade texture features slender white vertical fins providing rhythm and visual depth; structural clarity with visible horizontal bands delineating floors clearly; upper portions contain a massive, elevated rectangular void forming a sky-bridge element with recessed facade, enhancing spatial depth and transparency; roof flat, seamlessly blending into facade; urban courtyard environment with landscaped greenery at the base; large-scale proportions evident through facade details; angular perspective emphasizing intersecting vertical and horizontal volumes creating distinct void spaces."
